timestamp,gender,age,education_level,occupation,dna_knowledge,dna_info_source,support_national_dna_db_bf,dna_db_custodian_bf,dna_db_inclusion_criteria,include_crime_scene_profiles,offense_type_dna_recording,dna_storage_duration,dna_use_family_research,dna_use_disaster_research,dna_use_interpol_cooperation,dna_use_terrorism_fight,privacy_invasion_opinion,voluntary_dna_donation,privacy_risk_concern,database_misuse_concern,dna_use_in_investigations,police_lab_support_need,forensic_dna_private_sector,forensic_dna_autonomous_institution,message_to_investigators
2/22/2021 10:14,Male,35-60,PhD,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,Ministry of Justice,Condemned,No,All crimes,Indefinitely,No I do not agree,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,"Yes, but under certain conditions",No problem,Minor concerns,No,Yes,Maybe,Yes,
2/22/2021 12:39,Male,35-60,PhD,Students,Yes,Reading (newspapers and scientific documents),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Until acquittal,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,No,Yes,Yes,No,
2/22/2021 13:21,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,Others,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,Maybe,Yes,No,Maybe,"In my opinion, if there is to be a national DNA database, it must be under the responsibility of the ministry in charge of civil status. When a criminal DNA database is established, it would be under the responsibility of the National Police or the ministry in charge of security."
2/22/2021 13:25,Male,16-35,PhD,Others,Yes,During my studies (secondary and/or higher),Important,Others,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,I don't know,I don't know,
2/22/2021 13:34,Male,16-35,PhD,"Ministry of Higher Education and Scientific Research, Others",Yes,"The media (TV news, radio, documentaries)",Important,Ministry responsible for security,Condemned,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,No,Important concerns,Important concerns,No,Yes,Maybe,Maybe,RAS
2/22/2021 13:35,Male,16-35,University,Others,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,Yes,Important concerns,Important concerns,I don't know,Yes,No,No,"In any case, this investigation is important and would be easy to apply if our various defense and security structures make social security their main focus. If establishing a simple national identity card is difficult, how do you plan to collect the DNA of the entire population? Also with the inaccuracy of census figures and the mobility of the majority of the population, how do you plan to implement this technique?"
2/22/2021 13:38,Male,16-35,Secondary,Ministry responsible for security,Yes,Others,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,Maybe,Yes,No,No, Congratulations and encouragement. Nowadays we have to find proof differently.
2/22/2021 13:43,Male,16-35,University,Ministry responsible for security,Yes,Fiction films,Important,Ministry responsible for security,Condemned,Yes,All crimes and offenses,Until acquittal,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Yes,Minor concerns,Important concerns,Yes,Yes,No,Maybe,Encouragement and congratulations for the initiative
2/22/2021 13:49,Male,16-35,University,Others,Yes,Reading (newspapers and scientific documents),Unitile,Ministry responsible for security,"Convicts, suspects and volunteers",Yes,Gender-based violence,Indefinitely,"Yes, I agree but in certain circumstances",I don't know,I don't know,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,I don't know,Yes,No,I don't know,
2/22/2021 13:57,Female,16-35,Secondary,Others,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,Maybe,Yes,No,No,"think that including DNA in our research, or investigations, will easily facilitate the work of the defense and security forces. And will allow us to quickly find the possible culprits."
2/22/2021 14:01,Female,16-35,University,Students,Yes,Fiction films,Important,An autonomous institution,Convicts and suspects,Yes,Serious crimes only,Until acquittal,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,Maybe,Important concerns,Indifferent,Yes,Yes,No,No,"In my opinion, the use and implementation of DNA is a good idea because it will facilitate the work of our SDS"
2/22/2021 14:02,Male,16-35,Secondary,Ministry responsible for security,I am not sure,Fiction films,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,No,No, Thank you that God is with you
2/22/2021 14:03,Male,35-60,PhD,Others,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,yes I agree but in certain circumstances,Maybe,Yes,Minor concerns,Minor concerns,No,Yes,No,Yes,Very important
2/22/2021 14:08,Male,16-35,University,Ministry responsible for security,I am not sure,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Entire population of Burkina Faso,No,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,Maybe,Yes,No,No,I say congratulations to them for addressing this issue because the implementation of genetic data will make a big difference in forensic investigations. But a lot of rigor is needed in the processing of data.
2/22/2021 14:10,Male,16-35,Secondary,Others,Yes,Fiction films,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,No,Yes,No,Yes,I hope she abiutira
2/22/2021 14:12,Male,16-35,Secondary,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Condemned,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,No,Yes,No,No,Encouragement and perseverance
2/22/2021 14:13,Male,16-35,University,Ministry responsible for security,I don't know,Fiction films,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,No,Yes,Maybe,Maybe,DNA will be the solution in the fight against terrorism
2/22/2021 14:13,Male,16-35,Secondary,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,Yes,Yes,No,No,"Given the level and increasing power of armed bandits, it would be preferable to develop this system as quickly as possible."
2/22/2021 14:14,Male,16-35,Secondary,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,Important concerns,Important concerns,Yes,Yes,No,No,Very commendable initiative may God give you the strength to achieve the terms of your study
2/22/2021 14:19,Male,35-60,University,Ministry responsible for security,I am not sure,"The media (TV news, radio, documentaries)",Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,No,Yes,No,No,"My thanks to Commissioner Palenfo, as part of the fight against organized crime and crime in all its forms, it would be imperative that our police services have access to the use of a database (DNA), for any research"
2/22/2021 14:28,Male,16-35,University,Others,Yes,Fiction films,Important,Ministry of Justice,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,Yes,Minor concerns,Important concerns,Yes,Yes,No,Yes, Courage
