276,9,flow,,,,,,,
date,min_temp,max_temp,humidity,wind,insulation,ray,eto,rain,flow
1/1/1990,25,28,65,2.5,6,17,138.2,9,1.382
2/1/1990,25,27,55,2.2,5,16.4,130.28,5,0.44
3/1/1990,24,29,64,1.9,6,18.7,142.57,14,0.148
4/1/1990,25,28,70,1.4,5,17.1,119.54,197,1.209
5/1/1990,25,28,71,1.7,3,13.6,110.02,113,9.258
6/1/1990,25,27,78,1.4,3,13.3,94.18,154,5.467
7/1/1990,24,27,81,1.7,2,12,89.69,60,2.19
8/1/1990,24,26,85,1.7,3,13.8,91.95,62,0.885
9/1/1990,25,28,68,1.4,2,12.4,99.12,141,2.45
10/1/1990,25,27,68,1.4,4,15,112.92,125,26.667
11/1/1990,24,27,77,1.7,3,12.8,92.51,157,0.283
12/1/1990,25,26,75,1.9,4,13.8,101.58,61,0.037
1/1/1991,25,29,66,2.8,6,17,141.69,0,0
2/1/1991,26,30,63,1.9,5,16.4,124.07,105,0
3/1/1991,25,28,79,1.7,6,18.7,126.76,117,0.175
4/1/1991,24,28,84,1.1,5,17.1,106.94,135,1.067
5/1/1991,25,29,72,1.1,3,13.6,103.01,168,0.464
6/1/1991,24,27,74,0.8,3,13.3,90.3,125,1.92
7/1/1991,24,27,81,1.1,2,12,85.4,104,0.269
8/1/1991,24,26,82,1.4,3,13.8,93.47,104,1.24
9/1/1991,25,28,83,1.7,2,12.4,88.12,149,1.24
10/1/1991,25,27,80,1.9,4,15,106.24,155,0.436
11/1/1991,25,27,64,1.9,3,12.8,109.54,2,0.218
12/1/1991,23,27,64,2.2,4,13.8,117.31,4,0.009
1/1/1992,26,30,46,2,2.1,11.4,135.92,0,0
2/1/1992,25,29,69,2,2.1,12.1,99.67,24,0
3/1/1992,24,30,65,2,4,15.5,131.73,43,0
4/1/1992,26,28,83,2,0,9.4,78.28,146,0.078
5/1/1992,23,28,75,2,3.2,13.9,108.51,80,0.026
6/1/1992,25,27,76,2,0,9,82.3,108,2.19
7/1/1992,24,26,84,2,0,9,73.63,94,1.7
8/1/1992,23,27,81,2,2.2,12.6,92.42,96,1.31
9/1/1992,26,28,73,2,0,9.3,89.03,165,36.47
10/1/1992,25,27,72,2,0,9,90.7,105,53.2
11/1/1992,23,28,66,2,3.1,12.9,108.27,181,28.4
12/1/1992,25,27,58,2,0,8.2,101.66,0,1.39
1/1/1993,24,29,56,2,6,17,141.4,0,0.645
2/1/1993,25,27,69,2.2,5,16.4,115.45,41,0.297
3/1/1993,23,28,70,1.9,6,18.7,133.64,102,0.088
4/1/1993,24,27,68,1.4,5,17.1,117.28,77,0.2
5/1/1993,25,29,78,1.7,4,15.1,111.2,125,0.341
6/1/1993,24,27,75,1.4,4,14.8,102.23,58,0
7/1/1993,25,26,81,1.7,3,13.4,94.51,82,6.14
8/1/1993,26,28,83,1.7,4,15.3,106.67,45,0
9/1/1993,25,26,83,1.4,3,13.9,92.73,127,5.73
10/1/1993,24,27,75,2,5,16.5,117.64,206,4.66
11/1/1993,23,28,72,1.9,4,14.2,105.82,67,1.02
12/1/1993,24,27,70,2,5,15.2,114.18,0,0.118
1/1/1994,25,28,62,2,6,17,134.33,18,0.002
2/1/1994,25,28,69,2.2,5,16.4,116.18,0,0
3/1/1994,25,30,69,1.9,6,18.7,142.17,102,0
4/1/1994,23,27,65,1.4,5,17.1,119.67,166,0.425
5/1/1994,25,28,74,1.7,4,15.1,113.47,142,1.32
6/1/1994,23,27,77,1.4,4,14.8,98.9,163,0
7/1/1994,25,28,76,1.7,3,13.4,103.25,102,5.43
8/1/1994,24,26,86,1.7,4,15.3,99.04,118,3.38
9/1/1994,23,28,89,1.4,3,13.9,87.76,133,0
10/1/1994,24,27,79,2,5,16.5,113.47,79,13.9
11/1/1994,24,26,74,1.9,4,14.2,101.13,45,4.37
12/1/1994,25,27,66,2,5,15.2,119.58,0,0.623
1/1/1995,25,29,58,2.2,6,17,144.44,0,0.044
2/1/1995,24,28,56,1.7,5,16.4,121.29,34,0
3/1/1995,24,28,73,1.7,6,18.7,129.73,93,0
4/1/1995,25,27,73,1.4,5,17.1,115.75,150,0.291
5/1/1995,25,27,78,1.7,4,15.1,107.35,164,0.652
6/1/1995,26,28,74,1.4,4,14.8,105.38,127,0
7/1/1995,25,28,80,1.4,3,13.4,97.34,177,0
8/1/1995,24,29,83,1.7,4,15.3,106.95,100,0.968
9/1/1995,24,27,88,2.2,3,13.9,89.3,122,2.17
