ac,cal,cnl,den,gr,pe,rt10,rt20,rt30,rt60,rt90,toc
244.867,8.5256996155,23.8965,2.4535999298,17.425899506,7.9699997902,1950.0,1950.0,24.7541008,110.33640289,302.42590332,0.6432
247.2,8.5317001343,23.095,2.4535999298,15.453700066,7.9759998322,1950.0,1950.0,24.7541008,110.33640289,302.42590332,0.8039
246.216,8.5256996155,23.9255,2.4535999298,16.238599777,7.9699997902,1950.0,1950.0,24.7541008,110.33640289,302.42590332,1.0112
243.382,8.543800354,23.628,2.4535999298,15.144100189,7.9879999161,1950.0,1950.0,24.7541008,102.86949921,264.45901489,1.0529
238.979,8.5317001343,23.29,2.4535999298,14.482999802,7.9759998322,1950.0,1950.0,24.7541008,81.962402344,202.14579773,1.0646
233.744,8.5317001343,24.4815,2.4535999298,16.457899094,7.9759998322,1950.0,1950.0,15.310700417,73.573097229,158.03520203,1.0116
229.871,8.5256996155,23.8363,2.4535999298,17.116300583,7.9699997902,1950.0,1950.0,16.222600937,67.488899231,123.04149628,0.9039
227.727,8.5074996948,23.44,2.4535999298,14.702400208,7.9520001411,1950.0,1950.0,8.5256996155,56.799598694,103.17829895,0.957
227.338,8.4954004288,24.3803,2.4535999298,10.313699722,7.9400000572,1950.0,1950.0,5.1581997871,39.75630188,88.440597534,1.0405
228.415,8.4832992554,23.4,2.4535999298,9.4338998795,7.9279999733,1950.0,1950.0,5.986700058,50.887901306,99.44909668,1.1275
229.538,8.4652004242,25.4548,2.4656999111,11.411100388,7.9099998474,1950.0,1950.0,7.6322999001,64.945396423,113.47450256,1.1864
228.822,8.5074996948,23.776,2.4161000252,12.727700233,7.9520001411,1950.0,1950.0,6.8366999626,64.726799011,143.44790649,1.1423
225.567,8.5317001343,22.1625,2.2093000412,14.046299934,7.9759998322,1950.0,1950.0,5.1949000359,57.992401123,189.18190002,1.0125
220.061,8.543800354,24.521,2.0513000488,16.238500595,7.9879999161,1950.0,1950.0,6.3791999817,84.402702332,260.01620483,0.8981
209.622,8.5317001343,20.6883,1.9803999662,17.771600723,7.9759998322,1950.0,1950.0,8.4959001541,88.041801453,332.52020264,0.9516
197.657,8.543800354,18.342,1.9897999763,19.090099335,7.9879999161,1950.0,1950.0,6.4503998756,93.146202087,379.16390991,0.9875
188.63,8.5377998352,15.8548,1.975200057,18.870700836,7.9819998741,1950.0,1950.0,5.4204998016,81.310401917,348.97531128,0.9846
183.352,8.543800354,11.131,1.9929000139,20.183099747,7.9879999161,1950.0,1950.0,7.8702998161,85.160202026,268.85321045,0.9398
183.761,8.5377998352,11.172,1.9694000483,21.066400528,7.9819998741,1950.0,1950.0,12.10229969,82.467796326,195.55889893,0.7856
187.605,8.543800354,13.577,1.9644999504,22.38299942,7.9879999161,1950.0,1950.0,11.963500023,79.129501343,151.97000122,0.5584
195.76,8.5317001343,14.6333,1.9271999598,21.731899261,7.9759998322,1950.0,1950.0,5.1033000946,55.875900269,125.95449829,0.3744
206.134,8.543800354,16.187,1.9011000395,21.066200256,7.9879999161,1950.0,1950.0,9.6674003601,70.889701843,126.94329834,0.2582
212.734,8.5377998352,15.36,1.8948999643,20.188400269,7.9819998741,1950.0,1950.0,10.499099731,90.652099609,155.78010559,0.2041
218.781,8.5558996201,16.48,1.9371000528,21.361999512,8.0,1950.0,1950.0,6.7803001404,102.80390167,205.36659241,0.1882
224.107,8.5377998352,16.9428,1.9830000401,21.361999512,7.9819998741,1950.0,1950.0,5.1191000938,114.46530151,289.61239624,0.2209
228.264,8.5499000549,15.486,2.0055000782,20.25909996,7.993999958,1950.0,1950.0,5.2972998619,117.45939636,382.11999512,0.2305
231.943,8.5256996155,16.2015,1.977699995,17.115200043,7.9699997902,1950.0,1950.0,6.0647997856,108.00319672,422.34179688,0.2306
232.253,8.543800354,17.514,1.9623999596,13.134699821,7.9879999161,1950.0,1950.0,4.6217999458,96.03099823,399.51901245,0.2185
231.11,8.5317001343,16.408,1.9758000374,11.604399681,7.9759998322,1950.0,1950.0,3.8519001007,83.578201294,348.93301392,0.2176
228.79,8.543800354,15.5805,2.0009999275,12.47480011,7.9879999161,1950.0,1950.0,3.6328999996,86.715896606,302.67840576,0.256
227.643,8.5377998352,14.587,1.9853999615,15.800000191,7.9819998741,1950.0,1950.0,3.4749999046,82.365600586,254.33680725,0.2545
